Project Proponent,Agent,"Significantly Involved Person(s), Description of involvement",Project Name,Project ID,Method,Method URL,Method Type,Estimation or measurement approach or model,Project Description,Project activities,"Project suppressors, if applicable",Date Project Registered,Crediting period start date,Crediting period end date,Project location,Project location (postcode),"Project Area(s), where the project is an area based offsets project",Project Mapping File URL,Carbon Estimation Area mapping file URL,Supplementary project information,Model start date(s),"If the area-based project is covered by a regional natural resource management plan, is it consistent with that plan?",Joint Implementation project,Is the project area or project areas subject to a Carbon Maintenance Obligation (CMO)?,Conditional upon all regulatory approvals being obtained,Conditional upon the written consent of relevant interest holders,"Nominated Permanence Period, if applicable","Start date of permanence period, if applicable","Finish date of permanence period, if applicable",Contracted on,Contract ID,ACCUs Total units issued,KACCUs Total units issued,KACCUs Units Issued in Financial Year 2012/13,KACCUs Units Issued in Financial Year 2013/14,KACCUs Units Issued in Financial Year 2014/15,KACCUs Units Issued in Financial Year 2015/16,KACCUs Units Issued in Financial Year 2016/17,KACCUs Units Issued in Financial Year 2017/18,KACCUs Units Issued in Financial Year 2018/19,KACCUs Units Issued in Financial Year 2019/20,KACCUs Units Issued in Financial Year 2020/21,KACCUs Units Issued in Financial Year 2021/22,KACCUs Units Issued in Financial Year 2022/23,KACCUs Units Issued in Financial Year 2023/24,KACCUs Units Issued in Financial Year 2024/25,KACCUs Units Issued in Financial Year 2025/26,Name of person/s to whom the KACCUs issued,Total Number of KACCUs units relinquished,NKACCUs Total units issued,NKACCUs Units Issued in Financial Year 2012/13,NKACCUs Units Issued in Financial Year 2013/14,NKACCUs Units Issued in Financial Year 2014/15,NKACCUs Units Issued in Financial Year 2015/16,NKACCUs Units Issued in Financial Year 2016/17,NKACCUs Units Issued in Financial Year 2017/18,NKACCUs Units Issued in Financial Year 2018/19,NKACCUs Units Issued in Financial Year 2019/20,NKACCUs Units Issued in Financial Year 2020/21,NKACCUs Units Issued in Financial Year 2021/22,NKACCUs Units Issued in Financial Year 2022/23,NKACCUs Units Issued in Financial Year 2023/24,NKACCUs Units Issued in Financial Year 2024/25,NKACCUs Units Issued in Financial Year 2025/26,Name of person/s to whom the NKACCUs issued,Total Number of NKACCUs units relinquished,Enforceable undertaking URLs related to this project,Enforceable undertakings related to this project,Notes,Project revoked
AGRIPROVE SOLUTIONS CO NO.1 PTY LTD,Agriprove Pty Ltd,n/a,Riordan carbon project No3,ERF167693,Carbon Credits (Carbon Farming Initiative-Measurement of Soil Carbon Sequestration in Agricultural Systems) Methodology Determination 2018,https://www.legislation.gov.au/Details/F2018L00089,Agriculture,n/a,This project increases carbon in soil in the agricultural system by applying nutrients to the land in the form of a synthetic or non-synthetic fertiliser to address a material deficiency.,Applying nutrients to the land in the form of a synthetic or non-synthetic fertiliser to address a material deficiency,n/a,17/11/2021,17/11/2021,16/11/2046,Victoria,3314,"1/TP175563L
 
The project is in the Southern Grampians local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF167693.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
AGRIPROVE SOLUTIONS CO NO.1 PTY LTD,Agriprove Pty Ltd,n/a,Riordan Carbon Project No2,ERF167694,Carbon Credits (Carbon Farming Initiative-Measurement of Soil Carbon Sequestration in Agricultural Systems) Methodology Determination 2018,https://www.legislation.gov.au/Details/F2018L00089,Agriculture,n/a,This project increases carbon in soil in the agricultural system by applying nutrients to the land in the form of a synthetic or non-synthetic fertiliser to address a material deficiency.,Applying nutrients to the land in the form of a synthetic or non-synthetic fertiliser to address a material deficiency,n/a,17/11/2021,17/11/2021,16/11/2046,Victoria,3314,"10237/107
 
The project is in the Southern Grampians local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF167694.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
Engage Marine Pty Ltd,Anthony Hull,n/a,Engaged Carbon,ERF167738,Carbon Credits (Carbon Farming Initiative-Land and Sea Transport) Methodology Determination 2015,https://www.legislation.gov.au/Details/F2015L00163,Transport,n/a,This project is a 'group of vehicles project' to reduce emissions by changing operational practices.  The vehicles in this project are marine vessels.,Group of vehicles - changing operational practices,n/a,13/01/2022,1/07/2023,30/06/2030,South Australia,5600,n/a,n/a,n/a,n/a,n/a,n/a,No,n/a,No,No,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
Terra Carbon Pty Limited,n/a,n/a,Western Australia Rangelands Conservation Initiative Site #22,ERF167775,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 3),https://www.legislation.gov.au/Details/F2018C00125,Vegetation,n/a,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,"Management of the timing, and the extent, of grazing; Management, in a humane manner, of feral animals",Feral Animals; Livestock,5/02/2022,5/02/2022,4/02/2047,Western Australia,6705,"10/D194198/3067/442, 13/D194198/3070/809, 24/D220212/3070/820
 
The project is in the Upper Gascoyne local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF167775.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,19/12/2025 Variation to the project area – areas listed in the project have been removed,No
AGRIPROVE SOLUTIONS CO NO.1 PTY LTD,Agriprove Pty Ltd,n/a,Cooper Carbon Project,ERF167903,Carbon Credits (Carbon Farming Initiative-Measurement of Soil Carbon Sequestration in Agricultural Systems) Methodology Determination 2018,https://www.legislation.gov.au/Details/F2018L00089,Agriculture,n/a,"This project increases carbon in soil in the agricultural system by altering the stocking rate, duration or intensity of grazing.","Altering the stocking rate, duration or intensity of grazing",n/a,19/10/2021,19/10/2021,18/10/2046,New South Wales,2350,"501/DP1262618
 
The project is in the Armidale local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF167903.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
AGRIPROVE SOLUTIONS CO NO.1 PTY LTD,Agriprove Pty Ltd,n/a,Beale Carbon Project,ERF167905,Carbon Credits (Carbon Farming Initiative-Measurement of Soil Carbon Sequestration in Agricultural Systems) Methodology Determination 2018,https://www.legislation.gov.au/Details/F2018L00089,Agriculture,n/a,"This project increases carbon in soil in the agricultural system by altering the stocking rate, duration or intensity of grazing.","Altering the stocking rate, duration or intensity of grazing",n/a,17/11/2021,17/11/2021,16/11/2046,New South Wales,2350,"502/DP1262618
 
The project is in the Armidale local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF167905.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
MACLENNAN CATTLE CO PTY LTD,n/a,n/a,Sangara Carbon Farming (Revoked),ERF167913,Carbon Credits (Carbon Farming Initiative-Avoided Clearing of Native Regrowth) Methodology Determination 2015 (Compilation No. 1),https://www.legislation.gov.au/Details/F2018C00127,Vegetation,n/a,This project avoids clearing of native forest that is permitted to be cleared on land that has historically been subject to clearing.,Avoids emissions by not clearing native forest,n/a,24/06/2022,24/06/2022,23/06/2047,Queensland,4630,"74/RW677
 
The project is in the North Burnett local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF167913.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,04/11/2025 This project has been revoked under section 30 of the CFI Rule.,Yes
AGRIPROVE SOLUTIONS CO NO.1 PTY LTD,Agriprove Pty Ltd,n/a,Townley Carbon Project (Revoked),ERF167963,Carbon Credits (Carbon Farming Initiative-Measurement of Soil Carbon Sequestration in Agricultural Systems) Methodology Determination 2018,https://www.legislation.gov.au/Details/F2018L00089,Agriculture,n/a,"This project increases carbon in soil in the agricultural system by applying nutrients to the land in the form of a synthetic or non-synthetic fertiliser to address a material deficiency, re-establishing or rejuvenating a pasture by seeding, and altering the stocking rate, duration or intensity of grazing.","Altering the stocking rate, duration or intensity of grazing; Applying nutrients to the land in the form of a synthetic or non-synthetic fertiliser to address a material deficiency; Re-establishing or rejuvenating a pasture by seeding",n/a,8/11/2021,8/11/2021,7/11/2046,Queensland,4519,"14/SP168932
 
The project is in the Sunshine Coast local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF167963.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,23/09/2025 This project has been revoked under section 30 of the CFI Rule.,Yes
AGRIPROVE SOLUTIONS PTY LTD,Agriprove Pty Ltd,n/a,Courtice Carbon Project 1,ERF167968,Carbon Credits (Carbon Farming Initiative-Measurement of Soil Carbon Sequestration in Agricultural Systems) Methodology Determination 2018,https://www.legislation.gov.au/Details/F2018L00089,Agriculture,n/a,"This project increases carbon in soil in the agricultural system by applying nutrients to the land in the form of synthetic or non-synthetic fertiliser to address a material deficiency, re-establishing or rejuvenating a pasture by seeding, establishing, and permanently maintaining, a pasture where there was previously no pasture, and altering the stocking rate, duration or intensity of grazing.","Altering the stocking rate, duration or intensity of grazing; Applying nutrients to the land in the form of a synthetic or non-synthetic fertiliser to address a material deficiency; Establishing, and permanently maintaining, a pasture where there was previously no pasture, such as on cropland or bare fallow; Re-establishing or rejuvenating a pasture by seeding",n/a,1/11/2021,1/11/2021,31/10/2046,South Australia,5267,"5996/840, 5996/841
 
The project is in the Tatiara local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF167968.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
QNCF STUARTS CREEK OPERATIONS PTY LTD,CARBON LINK OPERATIONS PTY LTD,n/a,Stuart's Creek Soil Carbon Project,ERF168002,Carbon Credits (Carbon Farming Initiative-Estimation of Soil Organic Carbon Sequestration using Measurement and Models) Methodology Determination 2021,https://www.legislation.gov.au/Details/F2021L01696,Agriculture,n/a,"This project increases carbon in soil in the agricultural system by altering the stocking rate, duration or intensity of grazing.","Altering the stocking rate, duration or intensity of grazing to promote soil vegetation cover or improve soil health, or both",n/a,21/02/2022,21/02/2022,20/02/2047,Queensland,4455,"1/RP107681, 164/CPWV1426, 18/CPWV294, 19/CPWV293, 2/CPWV831, 2/RP107681, 280/CPWV536, 40/CPWV1240, 41/CPWV1240, 42/CPWV684, 46/CPWV1526, 54/CPWV743, 58/SP321790, 59/CPWV1524
 
The project is in the Maranoa local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF168002.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,08/03/2024 Variation to participant name - from PACKHORSE PASTORAL LAND PTY LTD to QNCF STUARTS CREEK OPERATIONS PTY LTD.,No
AGRIPROVE SOLUTIONS PTY LTD,Agriprove Pty Ltd,n/a,Courtice Carbon Project 2,ERF168007,Carbon Credits (Carbon Farming Initiative-Measurement of Soil Carbon Sequestration in Agricultural Systems) Methodology Determination 2018,https://www.legislation.gov.au/Details/F2018L00089,Agriculture,n/a,"This project increases carbon in soil in the agricultural system by applying nutrients to the land in the form of synthetic or non-synthetic fertiliser to address a material deficiency, re-establishing or rejuvenating a pasture by seeding, establishing, and permanently maintaining, a pasture where there was previously no pasture, such as on cropland, and altering the stocking rate, duration or intensity of grazing.","Altering the stocking rate, duration or intensity of grazing; Applying nutrients to the land in the form of a synthetic or non-synthetic fertiliser to address a material deficiency; Establishing, and permanently maintaining, a pasture where there was previously no pasture, such as on cropland or bare fallow; Retaining stubble after a crop is harvested",n/a,1/11/2021,1/11/2021,31/10/2046,South Australia,5267,"5996/840
 
The project is in the Tatiara local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF168007.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
AGRIPROVE SOLUTIONS PTY LTD,Agriprove Pty Ltd,n/a,Davidson Carbon Project 1,ERF168018,Carbon Credits (Carbon Farming Initiative-Estimation of Soil Organic Carbon Sequestration using Measurement and Models) Methodology Determination 2021,https://www.legislation.gov.au/Details/F2021L01696,Agriculture,n/a,"This project increases carbon in soil in the agricultural system by applying nutrients to the land in the form of a synthetic or non-synthetic fertiliser to address a material deficiency, re-establishing or rejuvenating a pasture by seeding, establishing, and permanently maintaining, a pasture where there was previously no pasture, such as on cropland or bare fallow, and altering the stocking rate, duration or intensity of grazing.","Altering the stocking rate, duration or intensity of grazing to promote soil vegetation cover or improve soil health, or both; Applying nutrients to the land in the form of a synthetic or non-synthetic fertiliser to address a material deficiency; Establishing, and permanently maintaining, a pasture where there was previously no or limited pasture, such as on cropland or fallow; Re-establishing or rejuvenating a pasture by seeding or pasture cropping",n/a,10/02/2022,10/02/2022,9/02/2047,South Australia,5302,"7/H731200
 
The project is in the Tatiara local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF168018.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
AGRIPROVE SOLUTIONS PTY LTD,Agriprove Pty Ltd,n/a,Davidson Carbon Project 2,ERF168019,Carbon Credits (Carbon Farming Initiative-Estimation of Soil Organic Carbon Sequestration using Measurement and Models) Methodology Determination 2021,https://www.legislation.gov.au/Details/F2021L01696,Agriculture,n/a,"This project increases carbon in soil in the agricultural system by applying nutrients to the land in the form of a synthetic or non-synthetic fertiliser to address a material deficiency, re-establishing or rejuvenating a pasture by seeding, establishing, and permanently maintaining, a pasture where there was previously no pasture, such as on cropland or bare fallow, and altering the stocking rate, duration or intensity of grazing.","Altering the stocking rate, duration or intensity of grazing to promote soil vegetation cover or improve soil health, or both; Applying nutrients to the land in the form of a synthetic or non-synthetic fertiliser to address a material deficiency; Establishing, and permanently maintaining, a pasture where there was previously no or limited pasture, such as on cropland or fallow; Re-establishing or rejuvenating a pasture by seeding or pasture cropping",n/a,11/02/2022,11/02/2022,10/02/2047,South Australia,5302,"7/H731200
 
The project is in the Tatiara local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF168019.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
AGRIPROVE SOLUTIONS PTY LTD,Agriprove Pty Ltd,n/a,Davidson Carbon Project 3,ERF168020,Carbon Credits (Carbon Farming Initiative-Estimation of Soil Organic Carbon Sequestration using Measurement and Models) Methodology Determination 2021,https://www.legislation.gov.au/Details/F2021L01696,Agriculture,n/a,"This project increases carbon in soil in the agricultural system by applying nutrients to the land in the form of a synthetic or non-synthetic fertiliser to address a material deficiency, re-establishing or rejuvenating a pasture by seeding, establishing, and permanently maintaining, a pasture where there was previously no pasture, such as on cropland or bare fallow, and altering the stocking rate, duration or intensity of grazing.","Altering the stocking rate, duration or intensity of grazing to promote soil vegetation cover or improve soil health, or both; Applying nutrients to the land in the form of a synthetic or non-synthetic fertiliser to address a material deficiency; Establishing, and permanently maintaining, a pasture where there was previously no or limited pasture, such as on cropland or fallow; Re-establishing or rejuvenating a pasture by seeding or pasture cropping",n/a,12/02/2022,12/02/2022,11/02/2047,South Australia,5302,"7/H731200
 
The project is in the Tatiara local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF168020.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
AGRIPROVE SOLUTIONS PTY LTD,Agriprove Pty Ltd,n/a,Davidson Carbon Project 4,ERF168021,Carbon Credits (Carbon Farming Initiative-Estimation of Soil Organic Carbon Sequestration using Measurement and Models) Methodology Determination 2021,https://www.legislation.gov.au/Details/F2021L01696,Agriculture,n/a,"This project increases carbon in soil in the agricultural system by applying nutrients to the land in the form of a synthetic or non-synthetic fertiliser to address a material deficiency, re-establishing or rejuvenating a pasture by seeding, establishing, and permanently maintaining, a pasture where there was previously no pasture, such as on cropland or bare fallow, and altering the stocking rate, duration or intensity of grazing.","Altering the stocking rate, duration or intensity of grazing to promote soil vegetation cover or improve soil health, or both; Applying nutrients to the land in the form of a synthetic or non-synthetic fertiliser to address a material deficiency; Establishing, and permanently maintaining, a pasture where there was previously no or limited pasture, such as on cropland or fallow; Re-establishing or rejuvenating a pasture by seeding or pasture cropping",n/a,12/02/2022,12/02/2022,11/02/2047,South Australia,5302,"6/H731200
 
The project is in the Tatiara local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF168021.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
AGRIPROVE SOLUTIONS PTY LTD,Agriprove Pty Ltd,n/a,Davidson Carbon Project 5,ERF168022,Carbon Credits (Carbon Farming Initiative-Estimation of Soil Organic Carbon Sequestration using Measurement and Models) Methodology Determination 2021,https://www.legislation.gov.au/Details/F2021L01696,Agriculture,n/a,"This project increases carbon in soil in the agricultural system by applying nutrients to the land in the form of a synthetic or non-synthetic fertiliser to address a material deficiency, re-establishing or rejuvenating a pasture by seeding, establishing, and permanently maintaining, a pasture where there was previously no pasture, such as on cropland or bare fallow, and altering the stocking rate, duration or intensity of grazing.","Altering the stocking rate, duration or intensity of grazing to promote soil vegetation cover or improve soil health, or both; Applying nutrients to the land in the form of a synthetic or non-synthetic fertiliser to address a material deficiency; Establishing, and permanently maintaining, a pasture where there was previously no or limited pasture, such as on cropland or fallow; Re-establishing or rejuvenating a pasture by seeding or pasture cropping",n/a,12/02/2022,12/02/2022,11/02/2047,South Australia,5302,"6/H731200
 
The project is in the Tatiara local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF168022.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
AGRIPROVE SOLUTIONS PTY LTD,Agriprove Pty Ltd,n/a,Davidson Carbon Project 6,ERF168023,Carbon Credits (Carbon Farming Initiative-Estimation of Soil Organic Carbon Sequestration using Measurement and Models) Methodology Determination 2021,https://www.legislation.gov.au/Details/F2021L01696,Agriculture,n/a,"This project increases carbon in soil in the agricultural system by applying nutrients to the land in the form of a synthetic or non-synthetic fertiliser to address a material deficiency, re-establishing or rejuvenating a pasture by seeding, establishing, and permanently maintaining, a pasture where there was previously no pasture, such as on cropland or bare fallow, and altering the stocking rate, duration or intensity of grazing.","Altering the stocking rate, duration or intensity of grazing to promote soil vegetation cover or improve soil health, or both; Applying nutrients to the land in the form of a synthetic or non-synthetic fertiliser to address a material deficiency; Establishing, and permanently maintaining, a pasture where there was previously no or limited pasture, such as on cropland or fallow; Re-establishing or rejuvenating a pasture by seeding or pasture cropping",n/a,12/02/2022,12/02/2022,11/02/2047,South Australia,5302,"6/H731200
 
The project is in the Tatiara local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF168023.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
AGRIPROVE SOLUTIONS PTY LTD,Agriprove Pty Ltd,n/a,Courtice Carbon Project 3,ERF168024,Carbon Credits (Carbon Farming Initiative-Measurement of Soil Carbon Sequestration in Agricultural Systems) Methodology Determination 2018,https://www.legislation.gov.au/Details/F2018L00089,Agriculture,n/a,"This project increases carbon in soil in the agricultural system by applying nutrients to the land in the form of synthetic or non-synthetic fertiliser to address a material deficiency, re-establishing or rejuvenating a pasture by seeding, establishing, and permanently maintaining, a pasture where there was previously no pasture, such as on cropland, and altering the stocking rate, duration or intensity of grazing.","Altering the stocking rate, duration or intensity of grazing; Applying nutrients to the land in the form of a synthetic or non-synthetic fertiliser to address a material deficiency; Establishing, and permanently maintaining, a pasture where there was previously no pasture, such as on cropland or bare fallow; Retaining stubble after a crop is harvested",n/a,1/11/2021,1/11/2021,31/10/2046,South Australia,5267,"5996/840
 
The project is in the Tatiara local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF168024.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
AGRIPROVE SOLUTIONS PTY LTD,Agriprove Pty Ltd,n/a,Courtice Carbon Project 4,ERF168033,Carbon Credits (Carbon Farming Initiative-Measurement of Soil Carbon Sequestration in Agricultural Systems) Methodology Determination 2018,https://www.legislation.gov.au/Details/F2018L00089,Agriculture,n/a,"This project increases carbon in soil in the agricultural system by applying nutrients to the land in the form of synthetic or non-synthetic fertiliser to address a material deficiency, re-establishing or rejuvenating a pasture by seeding, establishing, and permanently maintaining, a pasture where there was previously no pasture, such as on cropland, and altering the stocking rate, duration or intensity of grazing.","Altering the stocking rate, duration or intensity of grazing; Applying nutrients to the land in the form of a synthetic or non-synthetic fertiliser to address a material deficiency; Establishing, and permanently maintaining, a pasture where there was previously no pasture, such as on cropland or bare fallow; Re-establishing or rejuvenating a pasture by seeding",n/a,1/11/2021,1/11/2021,31/10/2046,South Australia,5267,"5996/840
 
The project is in the Tatiara local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF168033.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
AGRIPROVE SOLUTIONS PTY LTD,Agriprove Pty Ltd,n/a,Courtice Carbon Project 5,ERF168044,Carbon Credits (Carbon Farming Initiative-Measurement of Soil Carbon Sequestration in Agricultural Systems) Methodology Determination 2018,https://www.legislation.gov.au/Details/F2018L00089,Agriculture,n/a,"This project increases carbon in soil in the agricultural system by applying nutrients to the land in the form of synthetic or non-synthetic fertiliser to address a material deficiency, re-establishing or rejuvenating a pasture by seeding, establishing, and permanently maintaining, a pasture where there was previously no pasture, such as on cropland, and altering the stocking rate, duration or intensity of grazing.","Altering the stocking rate, duration or intensity of grazing; Applying nutrients to the land in the form of a synthetic or non-synthetic fertiliser to address a material deficiency; Establishing, and permanently maintaining, a pasture where there was previously no pasture, such as on cropland or bare fallow; Re-establishing or rejuvenating a pasture by seeding",n/a,1/11/2021,1/11/2021,31/10/2046,South Australia,5267,"5996/840
 
The project is in the Tatiara local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF168044.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
AGRIPROVE SOLUTIONS PTY LTD,Agriprove Pty Ltd,n/a,Courtice Carbon Project 6,ERF168045,Carbon Credits (Carbon Farming Initiative-Measurement of Soil Carbon Sequestration in Agricultural Systems) Methodology Determination 2018,https://www.legislation.gov.au/Details/F2018L00089,Agriculture,n/a,"This project increases carbon in soil in the agricultural system by applying nutrients to the land in the form of synthetic or non-synthetic fertiliser to address a material deficiency, re-establishing or rejuvenating a pasture by seeding, establishing, and permanently maintaining, a pasture where there was previously no pasture, such as on cropland, and altering the stocking rate, duration or intensity of grazing.","Altering the stocking rate, duration or intensity of grazing; Applying nutrients to the land in the form of a synthetic or non-synthetic fertiliser to address a material deficiency; Establishing, and permanently maintaining, a pasture where there was previously no pasture, such as on cropland or bare fallow; Re-establishing or rejuvenating a pasture by seeding",n/a,1/11/2021,1/11/2021,31/10/2046,South Australia,5267,"5996/840
 
The project is in the Tatiara local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF168045.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
