asx_code,name,market_cap_aud,index_membership,asrs_group
4DX,4DMEDICAL Ltd,2400000000.0,ASX 101-200,Group 1
ASK,Abacus Storage King,1900000000.0,ASX 101-200,Group 1
AAI,Alcoa Corporation,4000000000.0,ASX 101-200,Group 1
ALK,Alkane Resources Ltd,1900000000.0,ASX 101-200,Group 1
AMP,AMP Ltd,3800000000.0,ASX 101-200,Group 1
ANN,Ansell Ltd,4000000000.0,ASX 101-200,Group 1
AUB,AUB Group Ltd,3400000000.0,ASX 101-200,Group 1
AUI,Australian United Investment Company Ltd,1900000000.0,ASX 101-200,Group 1
BOQ,Bank Of Queensland Ltd,5300000000.0,ASX 101-200,Group 1
BKW,Brickworks Ltd,5200000000.0,ASX 101-200,Group 1
CCP,Credit Corp Group Ltd,2200000000.0,ASX 101-200,Group 1
CTD,Corporate Travel Management Ltd,2400000000.0,ASX 101-200,Group 1
DBI,Dalrymple Bay Infrastructure Ltd,2900000000.0,ASX 101-200,Group 1
DRR,Deterra Royalties Ltd,2300000000.0,ASX 101-200,Group 1
DVP,Develop Global Ltd,2100000000.0,ASX 101-200,Group 1
DDR,Dicker Data Ltd,2100000000.0,ASX 101-200,Group 1
DOW,Downer Edi Ltd,5300000000.0,ASX 101-200,Group 1
DRO,Droneshield Ltd,2600000000.0,ASX 101-200,Group 1
EBO,Ebos Group Ltd,3500000000.0,ASX 101-200,Group 1
EOS,Electro Optic Systems Holdings Ltd,2300000000.0,ASX 101-200,Group 1
ELV,Elevra Lithium Ltd,2100000000.0,ASX 101-200,Group 1
EMR,Emerald Resources NL,3700000000.0,ASX 101-200,Group 1
ELD,Elders Ltd,2000000000.0,ASX 101-200,Group 1
EQT,EQT Holdings Ltd,2000000000.0,ASX 101-200,Group 1
FCL,Fineos Corporation Holdings Plc,1900000000.0,ASX 101-200,Group 1
FLT,Flight Centre Travel Group Ltd,5700000000.0,ASX 101-200,Group 1
FSF,Fonterra Shareholders Fund,2700000000.0,ASX 101-200,Group 1
GDF,Garda Property Group,2000000000.0,ASX 101-200,Group 1
GQG,GQG Partners Inc,7700000000.0,ASX 101-200,Group 1
HLS,Healius Ltd,1900000000.0,ASX 101-200,Group 1
HLI,Helia Group Ltd,2000000000.0,ASX 101-200,Group 1
HSN,Hansen Technologies Ltd,1900000000.0,ASX 101-200,Group 1
HMC,HMC Capital Ltd,4800000000.0,ASX 101-200,Group 1
IFL,Insignia Financial Ltd,2900000000.0,ASX 101-200,Group 1
IPL,Incitec Pivot Ltd,5100000000.0,ASX 101-200,Group 1
ILU,Iluka Resources Ltd,3600000000.0,ASX 101-200,Group 1
ING,Inghams Group Ltd,2000000000.0,ASX 101-200,Group 1
IVC,Invocare Ltd,2000000000.0,ASX 101-200,Group 1
JHG,Janus Henderson Group Plc,8300000000.0,ASX 101-200,Group 1
KAR,Karoon Energy Ltd,2100000000.0,ASX 101-200,Group 1
LLC,Lendlease Group,5400000000.0,ASX 101-200,Group 1
LIC,Lifestyle Communities Ltd,2200000000.0,ASX 101-200,Group 1
LFS,Latitude Group Holdings Ltd,2400000000.0,ASX 101-200,Group 1
MAQ,Macquarie Technology Group Ltd,2000000000.0,ASX 101-200,Group 1
MP1,Megaport Ltd,3400000000.0,ASX 101-200,Group 1
MSB,Mesoblast Ltd,2600000000.0,ASX 101-200,Group 1
MTS,Metcash Ltd,3300000000.0,ASX 101-200,Group 1
MXT,Metrics Master Income Trust,2300000000.0,ASX 101-200,Group 1
MFF,MFF Capital Investments Ltd,3000000000.0,ASX 101-200,Group 1
MND,Monadelphous Group Ltd,3000000000.0,ASX 101-200,Group 1
NHF,Nib Holdings Ltd,3200000000.0,ASX 101-200,Group 1
ORA,Orora Ltd,3900000000.0,ASX 101-200,Group 1
OSH,Oil Search Ltd,2000000000.0,ASX 101-200,Group 1
PDN,Paladin Energy Ltd,4800000000.0,ASX 101-200,Group 1
PMV,Premier Investments Ltd,5800000000.0,ASX 101-200,Group 1
PNI,Pinnacle Investment Management Group Ltd,3700000000.0,ASX 101-200,Group 1
PPT,Perpetual Ltd,2700000000.0,ASX 101-200,Group 1
PTM,Platinum Asset Management Ltd,1900000000.0,ASX 101-200,Group 1
PRN,Perenti Ltd,2000000000.0,ASX 101-200,Group 1
RDY,ReadyTech Holdings Ltd,2000000000.0,ASX 101-200,Group 1
REH,Reece Ltd,15000000000.0,ASX 101-200,Group 1
RRL,Regis Resources Ltd,3300000000.0,ASX 101-200,Group 1
REG,Regis Healthcare Ltd,2100000000.0,ASX 101-200,Group 1
SKI,Spark Infrastructure Group,2000000000.0,ASX 101-200,Group 1
SDF,Steadfast Group Ltd,6800000000.0,ASX 101-200,Group 1
SVW,Seven Group Holdings Ltd,19000000000.0,ASX 101-200,Group 1
SFR,Sandfire Resources Ltd,8300000000.0,ASX 101-200,Group 1
SEK,Seek Ltd,9800000000.0,ASX 101-200,Group 1
SYD,Sydney Airport,2000000000.0,ASX 101-200,Group 1
TAH,Tabcorp Holdings Ltd,2700000000.0,ASX 101-200,Group 1
TWE,Treasury Wine Estates Ltd,10000000000.0,ASX 101-200,Group 1
TYR,Tyro Payments Ltd,2200000000.0,ASX 101-200,Group 1
UNI,Universal Store Holdings Ltd,1900000000.0,ASX 101-200,Group 1
VEA,Viva Energy Group Ltd,5000000000.0,ASX 101-200,Group 1
WAM,WAM Capital Ltd,2000000000.0,ASX 101-200,Group 1
WEB,Webjet Group Ltd,3600000000.0,ASX 101-200,Group 1
WPR,Waypoint REIT,2500000000.0,ASX 101-200,Group 1
ZIP,Zip Co Ltd,4500000000.0,ASX 101-200,Group 1
CQE,Charter Hall Social Infrastructure REIT,2000000000.0,ASX 101-200,Group 1
CLW,Charter Hall Long WALE REIT,3400000000.0,ASX 101-200,Group 1
CMW,Cromwell Property Group,2000000000.0,ASX 101-200,Group 1
CNU,Chorus Ltd,2600000000.0,ASX 101-200,Group 1
CNI,Centuria Industrial REIT,2000000000.0,ASX 101-200,Group 1
COF,Centuria Office REIT,2000000000.0,ASX 101-200,Group 1
CIA,Champion Iron Ltd,4500000000.0,ASX 101-200,Group 1
CAI,Calidus Resources Ltd,2000000000.0,ASX 101-200,Group 1
CIL,CI Resources Ltd,2000000000.0,ASX 101-200,Group 1
SBM,St Barbara Ltd,2000000000.0,ASX 101-200,Group 1
SCP,Shopping Centres Australasia Property Group,3200000000.0,ASX 101-200,Group 1
SDR,Siteminder Ltd,2500000000.0,ASX 101-200,Group 1
SPK,Spark New Zealand Ltd,4900000000.0,ASX 101-200,Group 1
SLR,Silver Lake Resources Ltd,2200000000.0,ASX 101-200,Group 1
SM1,Synlait Milk Ltd,2000000000.0,ASX 101-200,Group 1
SUL,Super Retail Group Ltd,4500000000.0,ASX 101-200,Group 1
NSR,National Storage REIT,3400000000.0,ASX 101-200,Group 1
NIC,Nickel Industries Ltd,2400000000.0,ASX 101-200,Group 1
NTO,Nitro Software Ltd,2000000000.0,ASX 101-200,Group 1
OFX,OFX Group Ltd,2000000000.0,ASX 101-200,Group 1
OPT,Opthea Ltd,2000000000.0,ASX 101-200,Group 1
WGX,Westgold Resources Ltd,2600000000.0,ASX 101-200,Group 1
PBH,PointsBet Holdings Ltd,2000000000.0,ASX 101-200,Group 1
PXA,Pexa Group Ltd,3700000000.0,ASX 101-200,Group 1
RGN,Region Group,2800000000.0,ASX 101-200,Group 1
RWC,Reliance Worldwide Corporation Ltd,3700000000.0,ASX 101-200,Group 1
SRG,SRG Global Ltd,2000000000.0,ASX 101-200,Group 1
THL,Tourism Holdings Ltd,2000000000.0,ASX 101-200,Group 1
VNT,Ventia Services Group Ltd,4100000000.0,ASX 101-200,Group 1
A2M,A2 Milk Company Ltd,3700000000.0,ASX 101-200,Group 1
ABB,Aussie Broadband Ltd,2000000000.0,ASX 101-200,Group 1
ACF,Acrow Ltd,2000000000.0,ASX 101-200,Group 1
ACL,Australian Clinical Labs Ltd,2000000000.0,ASX 101-200,Group 1
AD8,Audinate Group Ltd,2000000000.0,ASX 101-200,Group 1
ADH,Adairs Ltd,2000000000.0,ASX 101-200,Group 1
A200,Betashares Australia 200 ETF,,ASX 201-300,Group 2
AAA,Betashares Australian High Interest Cash ETF,4990000000.0,ASX 201-300,Group 2
ABC,Adbri Ltd,,ASX 201-300,Group 2
ABP,Abacus Property Group,,ASX 201-300,Group 2
AIZ,Air New Zealand Ltd,1164082365.0,ASX 201-300,Group 2
ALU,Altium Ltd,,ASX 201-300,Group 2
APT,Afterpay Ltd,,ASX 201-300,Group 2
APX,Appen Ltd,297795496.0,ASX 201-300,Group 2
ARB,ARB Corporation Ltd,1527633006.0,ASX 201-300,Group 2
ARF,Arena REIT,1289033914.0,ASX 201-300,Group 2
AST,Ausnet Services Ltd,,ASX 201-300,Group 2
AVN,Aventus Group,,ASX 201-300,Group 2
AWC,Alumina Ltd,,ASX 201-300,Group 2
AX1,Accent Group Ltd,,ASX 201-300,Group 2
BAP,Bapcor Ltd,296010000.0,ASX 201-300,Group 2
BET,Betmakers Technology Group Ltd,196050000.0,ASX 201-300,Group 2
BGA,Bega Cheese Ltd,1660000000.0,ASX 201-300,Group 2
BIN,Bingo Industries Ltd,,ASX 201-300,Group 2
BKI,BKI Investment Company Ltd,,ASX 201-300,Group 2
BKL,Blackmores Ltd,,ASX 201-300,Group 2
BLD,Boral Ltd,,ASX 201-300,Group 2
BPT,Beach Energy Ltd,2450000000.0,ASX 201-300,Group 2
BRG,Breville Group Ltd,4270000000.0,ASX 201-300,Group 2
BRN,Brainchip Holdings Ltd,421030000.0,ASX 201-300,Group 2
BWP,BWP Trust,2980000000.0,ASX 201-300,Group 2
CCL,Coca-Cola Amatil Ltd,,ASX 201-300,Group 2
CCX,City Chic Collective Ltd,15790000.0,ASX 201-300,Group 2
CEN,Contact Energy Ltd,4270000000.0,ASX 201-300,Group 2
CGC,Costa Group Holdings Ltd,,ASX 201-300,Group 2
CHN,Chalice Mining Ltd,,ASX 201-300,Group 2
CIM,Cimic Group Ltd,,ASX 201-300,Group 2
CIP,Centuria Industrial REIT,1850000000.0,ASX 201-300,Group 2
CKF,Collins Foods Ltd,,ASX 201-300,Group 2
CQR,Charter Hall Retail REIT,2170000000.0,ASX 201-300,Group 2
CRN,Coronado Global Resources Inc,461020000.0,ASX 201-300,Group 2
CSR,CSR Ltd,,ASX 201-300,Group 2
CUV,Clinuvel Pharmaceuticals Ltd,446790000.0,ASX 201-300,Group 2
CWN,Crown Resorts Ltd,,ASX 201-300,Group 2
DEG,De Grey Mining Ltd,,ASX 201-300,Group 2
DHG,Domain Holdings Australia Ltd,,ASX 201-300,Group 2
DMP,Domino's Pizza Enterprises Ltd,1480000000.0,ASX 201-300,Group 2
DTL,Data#3 Ltd,1480000000.0,ASX 201-300,Group 2
DUI,Diversified United Investment Ltd,,ASX 201-300,Group 2
EML,EML Payments Ltd,141860000.0,ASX 201-300,Group 2
ETHI,Betashares Global Sustainability Leaders ETF,3720000000.0,ASX 201-300,Group 2
EVT,Event Hospitality and Entertainment Ltd,1990000000.0,ASX 201-300,Group 2
FAIR,Betashares Australian Sustainability Leaders ETF,,ASX 201-300,Group 2
FBU,Fletcher Building Ltd,2840000000.0,ASX 201-300,Group 2
GMA,Genworth Mortgage Insurance Australia Ltd,,ASX 201-300,Group 2
GNC,Graincorp Ltd,,ASX 201-300,Group 2
GNE,Genesis Energy Ltd,2740000000.0,ASX 201-300,Group 2
GOLD,ETFs Metal Securities Australia Ltd,5760000000.0,ASX 201-300,Group 2
GOR,Gold Road Resources Ltd,,ASX 201-300,Group 2
GOZ,Growthpoint Properties Australia,1610000000.0,ASX 201-300,Group 2
GUD,G.U.D. Holdings Ltd,,ASX 201-300,Group 2
GXY,Galaxy Resources Ltd,,ASX 201-300,Group 2
HBRD,Betashares Active Australian Hybrids Fund (Managed Fund),2500000000.0,ASX 201-300,Group 2
HGH,Heartland Group Holdings Ltd,,ASX 201-300,Group 2
HM1,Hearts and Minds Investments Ltd,645730000.0,ASX 201-300,Group 2
HTA,Hutchison Telecommunications (Australia) Ltd,,ASX 201-300,Group 2
HYGG,Hyperion GBL Growth Companies Fund (Managed Fund),3620000000.0,ASX 201-300,Group 2
IAF,iShares Core Composite Bond ETF,3610000000.0,ASX 201-300,Group 2
IDX,Integral Diagnostics Ltd,,ASX 201-300,Group 2
IEL,IDP Education Ltd,,ASX 201-300,Group 2
IEM,iShares MSCI Emerging Markets ETF,1770000000.0,ASX 201-300,Group 2
INA,Ingenia Communities Group,1540000000.0,ASX 201-300,Group 2
IOO,iShares Global 100 ETF,5690000000.0,ASX 201-300,Group 2
IOZ,iShares Core S&P/ASX 200 ETF,,ASX 201-300,Group 2
IPH,IPH Ltd,,ASX 201-300,Group 2
IRE,Iress Ltd,,ASX 201-300,Group 2
ISX,iSignthis Ltd,,ASX 201-300,Group 2
IVV,iShares S&P 500 ETF,13450000000.0,ASX 201-300,Group 2
KGN,Kogan.com Ltd,,ASX 201-300,Group 2
LEP,ALE Property Group,,ASX 201-300,Group 2
LFG,Liberty Financial Group,,ASX 201-300,Group 2
LNK,Link Administration Holdings Ltd,,ASX 201-300,Group 2
LOV,Lovisa Holdings Ltd,2320000000.0,ASX 201-300,Group 2
LSF,L1 Long Short Fund Ltd,2830000000.0,ASX 201-300,Group 2
MFG,Magellan Financial Group Ltd,1660000000.0,ASX 201-300,Group 2
MGF,Magellan Global Fund,,ASX 201-300,Group 2
MGH,Maas Group Holdings Ltd,1920000000.0,ASX 201-300,Group 2
MGOC,Magellan Global Fund (Open Class) (Managed Fund),,ASX 201-300,Group 2
MGX,Mount Gibson Iron Ltd,,ASX 201-300,Group 2
MLT,Milton Corporation Ltd,,ASX 201-300,Group 2
MVW,VanEck Vectors Australian Equal Weight ETF,3200000000.0,ASX 201-300,Group 2
NAN,Nanosonics Ltd,,ASX 201-300,Group 2
NCM,Newcrest Mining Ltd,,ASX 201-300,Group 2
NDQ,Betashares Nasdaq 100 ETF,,ASX 201-300,Group 2
NEA,Nearmap Ltd,,ASX 201-300,Group 2
NEC,Nine Entertainment Co. Holdings Ltd,1460000000.0,ASX 201-300,Group 2
NHC,New Hope Corporation Ltd,5160000000.0,ASX 201-300,Group 2
NUF,Nufarm Ltd,,ASX 201-300,Group 2
NWH,NRW Holdings Ltd,3250000000.0,ASX 201-300,Group 2
NWS,News Corporation,1730000000.0,ASX 201-300,Group 2
NXL,Nuix Ltd,,ASX 201-300,Group 2
OBL,Omni Bridgeway Ltd,,ASX 201-300,Group 2
OCL,Objective Corporation Ltd,,ASX 201-300,Group 2
OML,oOh!Media Ltd,,ASX 201-300,Group 2
ORE,Orocobre Ltd,,ASX 201-300,Group 2
OZL,OZ Minerals Ltd,,ASX 201-300,Group 2
PDL,Pendal Group Ltd,,ASX 201-300,Group 2
PGH,Pact Group Holdings Ltd,,ASX 201-300,Group 2
PLL,Piedmont Lithium Ltd,,ASX 201-300,Group 2
PMGOLD,Perth Mint Gold,19650000000.0,ASX 201-300,Group 2
PNV,PolyNovo Ltd,,ASX 201-300,Group 2
PPH,Pushpay Holdings Ltd,,ASX 201-300,Group 2
PSI,PSC Insurance Group Ltd,,ASX 201-300,Group 2
QUAL,VanEck Vectors MSCI World Ex Australia Quality ETF,,ASX 201-300,Group 2
RBD,Restaurant Brands New Zealand Ltd,,ASX 201-300,Group 2
RBL,Redbubble Ltd,,ASX 201-300,Group 2
RMC,Resimac Group Ltd,332240000.0,ASX 201-300,Group 2
SGR,The Star Entertainment Group Ltd,663620000.0,ASX 201-300,Group 2
SIQ,Smartgroup Corporation Ltd,1630000000.0,ASX 201-300,Group 2
SKC,SkyCity Entertainment Group Ltd,452250000.0,ASX 201-300,Group 2
SLK,SeaLink Travel Group Ltd,,ASX 201-300,Group 2
SNZ,Summerset Group Holdings Ltd,1660000000.0,ASX 201-300,Group 2
STW,SPDR S&P/ASX 200 Fund,,ASX 201-300,Group 2
TLT,Tilt Renewables Ltd,,ASX 201-300,Group 2
TLX,Telix Pharmaceuticals Ltd,4540000000.0,ASX 201-300,Group 2
TPW,Temple & Webster Group Ltd,,ASX 201-300,Group 2
UMG,United Malt Group Ltd,,ASX 201-300,Group 2
URW,Unibail-Rodamco-Westfield,,ASX 201-300,Group 2
UWL,Uniti Group Ltd,,ASX 201-300,Group 2
VAF,Vanguard Australian Fixed Interest Index ETF,3620000000.0,ASX 201-300,Group 2
VAP,Vanguard Australian Property Securities Index ETF,3000000000.0,ASX 201-300,Group 2
VAS,Vanguard Australian Shares Index ETF,25150000000.0,ASX 201-300,Group 2
VEU,Vanguard All-World Ex-US Shares Index ETF,5840000000.0,ASX 201-300,Group 2
VGAD,Vanguard MSCI Index International Shares (Hedged) ETF,,ASX 201-300,Group 2
VGS,Vanguard MSCI Index International Shares ETF,16380000000.0,ASX 201-300,Group 2
VHY,Vanguard Australian Shares High Yield ETF,,ASX 201-300,Group 2
VOC,Vocus Group Ltd,,ASX 201-300,Group 2
VTS,Vanguard US Total Market Shares Index ETF,,ASX 201-300,Group 2
VUK,Virgin Money UK Plc,,ASX 201-300,Group 2
WLE,WAM Leaders Ltd,1810000000.0,ASX 201-300,Group 2
WPL,Woodside Petroleum Ltd,,ASX 201-300,Group 2
Z1P,Zip Co Ltd,,ASX 201-300,Group 2
ZEL,Z Energy Ltd,,ASX 201-300,Group 2
ZIM,Zimplats Holdings Ltd,1700000000.0,ASX 201-300,Group 2
AGN,Argenica Therapeutics Ltd,14772522.0,ASX 300+,Unclassified
AGR,Aguia Resources Ltd,40018288.0,ASX 300+,Unclassified
AGVT,Betashares Australian Government Bond ETF,1124808448.0,ASX 300+,Group 2
AGX1,Antipodes Global Value Active ETF,384088310.0,ASX 300+,Group 2
AGY,Argosy Minerals Ltd,87977273.0,ASX 300+,Group 3
AHC,Austco Healthcare Ltd,82445282.0,ASX 300+,Group 3
AHE,Adheris Health Ltd,12115860.0,ASX 300+,Unclassified
AHF,Australian Dairy Nutritionals Ltd,14173763.0,ASX 300+,Unclassified
AHK,Ark Mines Ltd,23871619.0,ASX 300+,Unclassified
AHL,Adrad Holdings Ltd,111816865.0,ASX 300+,Group 3
AHN,Athena Resources Ltd,11329728.0,ASX 300+,Unclassified
AI1,Adisyn Ltd,172140789.0,ASX 300+,Group 3
AIH,Advanced Innergy Holdings Ltd,327316285.0,ASX 300+,Group 2
AII,Almonty Industries Inc,111731446.0,ASX 300+,Group 3
AIM,Ai-Media Technologies Ltd,45048558.0,ASX 300+,Unclassified
AINF,Global X Ai Infrastructure ETF,142126650.0,ASX 300+,Group 3
AIQ,Alternative Investment Trust,83912952.0,ASX 300+,Group 3
AIS,Aeris Resources Ltd,460909981.0,ASX 300+,Group 2
AIV,Activex Ltd,7812887.0,ASX 300+,Unclassified
AJL,AJ Lucas Group Ltd,12381567.0,ASX 300+,Unclassified
AJX,Alexium International Group Ltd,21894495.0,ASX 300+,Unclassified
AKA,Aureka Ltd,15832771.0,ASX 300+,Unclassified
AKG,Academies Australasia Group Ltd,13924519.0,ASX 300+,Unclassified
AKM,Aspire Mining Ltd,109141952.0,ASX 300+,Group 3
AKN,Auking Mining Ltd,44619125.0,ASX 300+,Unclassified
AKO,Akora Resources Ltd,13954302.0,ASX 300+,Unclassified
AL3,AML3D Ltd,83479287.0,ASX 300+,Group 3
ALA,Arovella Therapeutics Ltd,80988506.0,ASX 300+,Group 3
ALB,Albion Resources Ltd,7549533.0,ASX 300+,Unclassified
ALC,Alcidion Group Ltd,134355876.0,ASX 300+,Group 3
ALFA,Vaneck Australian Long Short Complex ETF,32188516.0,ASX 300+,Unclassified
ALI,Argo Global Listed Infrastructure Ltd,436289128.0,ASX 300+,Group 2
ALM,Alma Metals Ltd,36442439.0,ASX 300+,Unclassified
ALPH,Schroder Global Equity Alpha Fund - Active ETF,9552765.0,ASX 300+,Unclassified
ALR,Altair Minerals Ltd,216602732.0,ASX 300+,Group 3
ALTB,iShares 15+ Year Australian Government Bond ETF,184691778.0,ASX 300+,Group 3
ALV,Alvo Minerals Ltd,9430125.0,ASX 300+,Unclassified
ALY,Alchemy Resources Ltd,9504610.0,ASX 300+,Unclassified
AM3,Amara Minerals Ltd,13333273.0,ASX 300+,Unclassified
AM5,Antares Metals Ltd,5992720.0,ASX 300+,Unclassified
AM7,Arcadia Minerals Ltd,6619172.0,ASX 300+,Unclassified
AMA,AMA Group Ltd,214260241.0,ASX 300+,Group 3
AMD,Arrow Minerals Ltd,6052600.0,ASX 300+,Unclassified
AMH,Amcil Ltd,282009777.0,ASX 300+,Group 3
AMI,Aurelia Metals Ltd,474152513.0,ASX 300+,Group 2
AMN,Agrimin Ltd,23395767.0,ASX 300+,Unclassified
AMO,Ambertech Ltd,10494526.0,ASX 300+,Unclassified
AMS,Atomos Ltd,20093602.0,ASX 300+,Unclassified
AMU,American Uranium Ltd,10991967.0,ASX 300+,Unclassified
AMX,Aerometrex Ltd,25409996.0,ASX 300+,Unclassified
AN1,Anagenics Ltd,6898156.0,ASX 300+,Unclassified
AN3PI,Australia and New Zealand Banking Group Ltd,1529250000.0,ASX 300+,Group 2
AN3PJ,Australia and New Zealand Banking Group Ltd,1338034000.0,ASX 300+,Group 2
AN3PK,Australia and New Zealand Banking Group Ltd,1537050000.0,ASX 300+,Group 2
AN3PL,Australia and New Zealand Banking Group Ltd,1764260000.0,ASX 300+,Group 2
