Company Name,Revenue (AUD),Assets (AUD),Employees,FY,Confidence
Karoon Energy,680000000,2400000000,250,FY24,Low
Viva Energy Group,31500000000,6500000000,8000,FY24,High
Ampol,32000000000,8500000000,8000,FY24,High
AGL Energy,13500000000,18000000000,4000,FY24,High
APA Group,2900000000,16000000000,2400,FY24,High
Worley,11800000000,9000000000,49000,FY24,High
Woodside Energy Group Ltd,18000000000,60000000000,6500,FY24,High
Wesfarmers,44200000000,37000000000,120000,FY24,High
Coles Group Limited,42500000000,16500000000,120000,FY24,High
Woolworths Group Limited,68000000000,26000000000,210000,FY24,High
Endeavour Group,12600000000,12000000000,30000,FY24,High
Metcash,18900000000,4600000000,8500,FY24,High
Treasury Wine Estates,2950000000,8100000000,3700,FY24,High
Bega Group,3500000000,2000000000,4000,FY24,Medium
The a2 Milk Company,1700000000,1700000000,380,FY24,Medium
Harvey Norman Holdings,3950000000,6500000000,12000,FY24,Medium
JB Hi-Fi,9600000000,2200000000,13000,FY24,High
Super Retail Group,3900000000,2400000000,13000,FY24,High
Domino's Pizza Enterprises Ltd,2400000000,1400000000,6000,FY24,Medium
CSL Limited,21100000000,43000000000,32000,FY24,High
Ramsay Health Care Limited,16700000000,18000000000,88000,FY24,High
ResMed,6660000000,8000000000,10000,FY24,High
Sonic Healthcare,9100000000,11000000000,41000,FY24,High
Cochlear,2300000000,2400000000,5300,FY24,High
Pro Medicus,160000000,290000000,160,FY24,Medium
Sigma Healthcare,3500000000,850000000,2000,FY24,Medium
Ansell Limited,2350000000,2300000000,12000,FY24,High
Healius,1500000000,2400000000,9500,FY24,Medium
Fisher & Paykel Healthcare,1900000000,2900000000,6700,FY24,High
Goodman Group,1900000000,23000000000,1100,FY24,High
Mirvac Group,3200000000,21000000000,1500,FY24,High
Dexus,860000000,18000000000,550,FY24,High
Stockland Corporation Limited and Stockland Trust,3500000000,18000000000,1500,FY24,High
Lendlease,8900000000,12500000000,8400,FY24,High
GPT Group,640000000,13000000000,550,FY24,High
Charter Hall Group,450000000,3500000000,620,FY24,Medium
Scentre Group,2700000000,37000000000,1700,FY24,High
Vicinity Centres,1300000000,19000000000,850,FY24,Medium
Investa Office Management Pty Limited,250000000,1500000000,220,FY24,Low
Ingenia Communities,450000000,2400000000,680,FY24,Medium
Transurban Group,4900000000,27000000000,2000,FY24,High
Auckland International Airport,850000000,9500000000,680,FY24,Medium
Aurizon Holdings,3700000000,9200000000,5000,FY24,High
Atlas Arteria,700000000,6000000000,500,FY24,Medium
WiseTech Global,1040000000,2400000000,3000,FY24,High
REA Group,1450000000,2900000000,2900,FY24,High
Carsales (CAR Group),1080000000,4000000000,1400,FY24,Medium
TechnologyOne,450000000,420000000,1500,FY24,Medium
Telstra Group Limited,23300000000,42000000000,30000,FY24,High
TPG Telecom Limited,5400000000,12500000000,5400,FY24,High
News Corp Australia,3000000000,2800000000,8000,FY24,Medium
Nine Entertainment,2700000000,3500000000,6300,FY24,Medium
Seven West Media,1400000000,1700000000,3400,FY24,Medium
ARN Media,320000000,700000000,800,FY24,Low
Xero,1700000000,2500000000,4500,FY24,High
NEXTDC,400000000,6000000000,700,FY24,Medium
Qantas Airways,21900000000,23000000000,27000,FY24,High
Brambles,9000000000,13000000000,14000,FY24,High
Lottery Corporation,3700000000,5800000000,850,FY24,Medium
Tabcorp,2400000000,4500000000,2900,FY24,Medium
Aristocrat Leisure Limited,6500000000,9500000000,8000,FY24,High
Flight Centre Travel Group,2700000000,3000000000,18000,FY24,High
Downer EDI Limited,12000000000,6800000000,32000,FY24,High
NBN Co Limited,6100000000,31000000000,6500,FY24,High
Australian Postal Corporation,9100000000,6800000000,65000,FY24,High
Australian Broadcasting Corporation,1230000000,1500000000,4200,FY24,Medium
GHD Group Limited,2900000000,1300000000,11000,FY24,High
Ausgrid Group,2400000000,16500000000,3500,FY24,Medium
South East Water,850000000,3500000000,1200,FY24,Medium
Yarra Valley Water,700000000,3000000000,800,FY24,Medium
Tassal Group Limited,760000000,1500000000,2000,FY24,Medium
Pact Group,1900000000,2500000000,6000,FY24,Medium
MYOB,720000000,2200000000,2500,FY24,Medium
Inghams Group Ltd,3300000000,2400000000,8500,FY24,High
Frasers Property Australia,2100000000,6500000000,850,FY24,Medium
Frasers Property Industrial,700000000,3500000000,250,FY24,Low
SG Fleet,330000000,2400000000,1100,FY24,Medium
Bank Australia,420000000,13000000000,720,FY24,Medium
Great Southern Bank,320000000,13500000000,730,FY24,Medium
Teachers Mutual Bank,550000000,11500000000,850,FY24,Medium
People First Bank,680000000,24500000000,1700,FY24,Medium
AUB Group,1300000000,3000000000,1200,FY24,Medium
Steadfast Group,1900000000,2500000000,1100,FY24,Medium
Reliance Worldwide,1100000000,1700000000,2200,FY24,Medium
GrainCorp Limited,6900000000,3800000000,2300,FY24,High
SunRice (listed as RiceGrowers Limited),1900000000,1000000000,2300,FY24,Medium
Pro-Pac Packaging Limited,250000000,240000000,700,FY24,Low
MoneyMe Limited,220000000,1300000000,290,FY24,Low
Adherium Ltd,8000000,12000000,30,FY24,Medium
EVT Limited,850000000,2000000000,4400,FY24,Medium
Iress Limited,620000000,1500000000,1900,FY24,Medium
Spark New Zealand,3700000000,3700000000,4500,FY24,Medium
Energyaustralia Holdings Limited,9500000000,12500000000,2300,FY24,Medium
Stanwell Corporation Limited,2900000000,6500000000,700,FY24,Medium
C S Energy Limited,2700000000,5500000000,550,FY24,Low
Electricity Generation And Retail Corporation,3500000000,8500000000,1800,FY24,Low
Sydney Water,3200000000,27000000000,3500,FY24,Medium
Cleanaway Waste Management Limited,3900000000,5000000000,7300,FY24,Medium
Aurizon Operations Limited,3700000000,9200000000,5000,FY24,Medium
Visy Industries Holdings Pty Limited,5000000000,6000000000,8000,FY24,Low
